id;geocod_ibge;nome;ano;valor;classe
4202;2600054;Abreu e Lima/PE;2015;0.94;Muito alto
5029;1500305;Afuá/PA;2015;0.94;Muito alto
4206;2600401;Água Preta/PE;2015;0.94;Muito alto
3982;2500403;Alagoa Nova/PB;2015;0.94;Muito alto
133;4300406;Alegrete/RS;2015;0.94;Muito alto
768;3101508;Além Paraíba/MG;2015;0.94;Muito alto
671;2900900;Almadina/BA;2015;0.94;Muito alto
2860;1500602;Altamira/PA;2015;0.94;Muito alto
2565;4300604;Alvorada/RS;2015;0.94;Muito alto
4211;2600906;Amaraji/PE;2015;0.94;Muito alto
2943;1500800;Ananindeua/PA;2015;0.94;Muito alto
1684;3300100;Angra dos Reis/RJ;2015;0.94;Muito alto
787;3103108;Antônio Prado de Minas/MG;2015;0.94;Muito alto
4583;2901957;Apuarema/BA;2015;0.94;Muito alto
4491;2800308;Aracaju/SE;2015;0.94;Muito alto
4213;2601052;Araçoiaba/PE;2015;0.94;Muito alto
3991;2500908;Arara/PB;2015;0.94;Muito alto
673;2902252;Arataca/BA;2015;0.94;Muito alto
674;2902401;Aurelino Leal/BA;2015;0.94;Muito alto
2946;1501105;Bagre/PA;2015;0.94;Muito alto
2397;4202008;Balneário Camboriú/SC;2015;0.94;Muito alto
810;3105202;Bandeira/MG;2015;0.94;Muito alto
4216;2601300;Barra de Guabiraba/PE;2015;0.94;Muito alto
1691;3300407;Barra Mansa/RJ;2015;0.94;Muito alto
4217;2601409;Barreiros/PE;2015;0.94;Muito alto
676;2903300;Barro Preto/BA;2015;0.94;Muito alto
1836;3505708;Barueri/SP;2015;0.94;Muito alto
1839;3506003;Bauru/SP;2015;0.94;Muito alto
4004;2501807;Bayeux/PB;2015;0.94;Muito alto
4218;2601508;Belém de Maria/PE;2015;0.94;Muito alto
2950;1501402;Belém/PA;2015;0.94;Muito alto
4005;2501906;Belém/PB;2015;0.94;Muito alto
1692;3300456;Belford Roxo/RJ;2015;0.94;Muito alto
819;3106200;Belo Horizonte/MG;2015;0.94;Muito alto
826;3106804;Bias Fortes/MG;2015;0.94;Muito alto
2404;4202404;Blumenau/SC;2015;0.94;Muito alto
1619;3201100;Bom Jesus do Norte/ES;2015;0.94;Muito alto
4226;2602308;Bonito/PE;2015;0.94;Muito alto
4397;2701100;Branquinha/AL;2015;0.94;Muito alto
4230;2602704;Buenos Aires/PE;2015;0.94;Muito alto
680;2904704;Buerarema/BA;2015;0.94;Muito alto
681;2904803;Caatiba/BA;2015;0.94;Muito alto
